[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | INFO: Run CheckRoute Behavior [ RunTime:0.000903s ]
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | INFO: Tag[ route_check ] --END-- [ RunTime:0.001003s ]
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | INFO: Tag[ app_begin ] --START--
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000595s ]
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000665s ]
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | SQL: SHOW COLUMNS FROM `application_name` [ RunTime:0.057874s ]
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | SQL: SELECT * FROM `application_name` WHERE ApplicationList_ID=1  [ RunTime:0.065268s ]
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | SQL: SELECT * FROM `application_name` WHERE ApplicationList_ID=2  [ RunTime:0.004834s ]
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | INFO: Tag[ view_template ] --START--
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | INFO: Run LocationTemplate Behavior [ RunTime:0.001168s ]
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | INFO: Tag[ view_template ] --END-- [ RunTime:0.001270s ]
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | INFO: Tag[ view_parse ] --START--
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined variable: title 5d411c0c82754ea1c4288a1f2232db2e.php 第 5 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1571 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1572 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1573 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1574 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1575 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1576 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1577 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1578 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1579 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1580 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1581 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1582 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1583 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1584 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1585 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1586 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1587 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1588 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1589 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1590 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1591 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1592 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1593 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1594 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1595 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1596 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1597 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1598 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1599 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1600 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1601 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1602 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1603 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1604 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1605 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1606 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1607 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1608 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1609 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1610 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1611 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1612 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1613 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1614 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1615 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1616 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1617 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1618 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1619 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1620 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1621 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
