[ 2012-12-28T09:38:23+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ParseTemplate Behavior [ RunTime:0.010855s ]
[ 2012-12-28T09:38:23+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010951s ]
[ 2012-12-28T09:38:23+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --START--
[ 2012-12-28T09:38:23+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ContentReplace Behavior [ RunTime:0.000929s ]
[ 2012-12-28T09:38:23+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run TokenBuild Behavior [ RunTime:0.000974s ]
[ 2012-12-28T09:38:23+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000784s ]
[ 2012-12-28T09:38:23+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowRuntime Behavior [ RunTime:0.001186s ]
[ 2012-12-28T09:38:23+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004725s ]
[ 2012-12-28T09:38:23+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:172) View.class.php 第 120 行.
[ 2012-12-28T09:38:23+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:172) View.class.php 第 121 行.
[ 2012-12-28T09:38:23+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:172) View.class.php 第 122 行.
[ 2012-12-28T09:38:23+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --START--
[ 2012-12-28T09:38:23+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowPageTrace Behavior [ RunTime:0.001343s ]
[ 2012-12-28T09:38:23+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --END-- [ RunTime:0.001427s ]
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --START--
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run CheckRoute Behavior [ RunTime:0.002141s ]
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --END-- [ RunTime:0.002277s ]
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --START--
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000742s ]
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000839s ]
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --START--
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run LocationTemplate Behavior [ RunTime:0.000413s ]
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --END-- [ RunTime:0.000490s ]
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --START--
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ParseTemplate Behavior [ RunTime:0.008559s ]
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008655s ]
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --START--
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ContentReplace Behavior [ RunTime:0.000386s ]
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run TokenBuild Behavior [ RunTime:0.000444s ]
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000265s ]
[ 2012-12-28T09:39:47+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowRuntime Behavior [ RunTime:0.000529s ]
