[ 2013-01-10T16:47:24+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T16:47:24+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001111s ]
[ 2013-01-10T16:47:24+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001219s ]
[ 2013-01-10T16:47:24+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T16:47:24+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000707s ]
[ 2013-01-10T16:47:24+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000779s ]
[ 2013-01-10T16:47:24+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T16:47:24+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001158s ]
[ 2013-01-10T16:47:24+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001270s ]
[ 2013-01-10T16:47:24+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T16:47:24+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000739s ]
[ 2013-01-10T16:47:24+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000814s ]
[ 2013-01-10T16:47:31+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T16:47:31+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001768s ]
[ 2013-01-10T16:47:31+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001912s ]
[ 2013-01-10T16:47:31+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T16:47:31+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002124s ]
[ 2013-01-10T16:47:31+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002243s ]
[ 2013-01-10T16:47:32+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T16:47:32+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001064s ]
[ 2013-01-10T16:47:32+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001182s ]
[ 2013-01-10T16:47:32+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T16:47:32+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000711s ]
[ 2013-01-10T16:47:32+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000782s ]
[ 2013-01-10T16:47:32+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T16:47:32+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001081s ]
[ 2013-01-10T16:47:32+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001189s ]
[ 2013-01-10T16:47:32+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T16:47:32+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000790s ]
[ 2013-01-10T16:47:32+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000881s ]
[ 2013-01-10T16:47:33+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T16:47:33+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001078s ]
[ 2013-01-10T16:47:33+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001184s ]
[ 2013-01-10T16:47:33+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T16:47:33+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000715s ]
[ 2013-01-10T16:47:33+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000787s ]
[ 2013-01-10T16:48:46+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T16:48:46+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001025s ]
[ 2013-01-10T16:48:46+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001129s ]
[ 2013-01-10T16:48:46+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T16:48:46+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000698s ]
[ 2013-01-10T16:48:46+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000769s ]
[ 2013-01-10T16:48:47+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T16:48:47+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001079s ]
[ 2013-01-10T16:48:47+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001186s ]
[ 2013-01-10T16:48:47+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T16:48:47+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000719s ]
[ 2013-01-10T16:48:47+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000789s ]
